id,titulo,artista,ano,genero,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness,loudness,tempo,duration_ms,popularidade,hit
211,Faixa 0211,Artista 064,2010,rock,0.642,0.588,0.393,0.379,0.0192,0.211,0.099,-5.72,111,207617,51,0
212,Faixa 0212,Artista 161,2012,mpb,0.674,0.545,0.603,0.409,0.1383,0.121,0.196,-10.25,76,181729,55,0
213,Faixa 0213,Artista 179,2024,pop,0.764,0.715,0.667,0.174,0.1902,0.29,0.073,-6.06,117,167040,100,1
214,Faixa 0214,Artista 062,2023,sertanejo,0.937,0.703,0.783,0.174,0.2331,0.021,0.06,-9.23,120,168826,100,1
215,Faixa 0215,Artista 324,2018,mpb,0.505,0.755,0.591,0.265,0.1411,0.325,0.367,-4.62,141,222954,50,0
216,Faixa 0216,Artista 084,2021,eletronica,0.517,0.709,0.215,0.088,0.1654,0.232,0.179,-5.14,175,243963,61,0
217,Faixa 0217,Artista 150,2024,sertanejo,0.499,0.488,0.462,0.111,0.0455,0.1,0.219,-3.05,111,242696,32,0
218,Faixa 0218,Artista 307,2013,rock,0.813,0.697,0.49,0.13,0.008,0.17,0.234,-7.3,151,200015,76,0
219,Faixa 0219,Artista 227,2014,mpb,0.693,0.729,0.464,0.096,0.0659,0.075,0.02,-5.63,97,150857,62,0
220,Faixa 0220,Artista 152,2020,eletronica,0.232,0.38,0.358,0.284,0.0344,0.171,0.191,-1.0,121,189559,0,0
221,Faixa 0221,Artista 324,2010,pop,0.503,0.594,0.15,0.103,0.195,0.456,0.235,-3.24,122,188364,57,0
222,Faixa 0222,Artista 206,2019,eletronica,0.839,0.656,0.102,0.349,0.0692,0.197,0.02,-6.74,140,185926,78,0
223,Faixa 0223,Artista 023,2015,funk,0.73,0.753,0.49,0.227,0.102,0.169,0.191,-2.83,92,175781,100,1
224,Faixa 0224,Artista 301,2020,mpb,0.77,0.395,0.342,0.158,0.0448,0.045,0.127,-3.59,114,199731,71,0
225,Faixa 0225,Artista 348,2013,funk,0.592,0.666,0.447,0.324,0.1584,0.106,0.436,-4.93,80,267182,50,0
226,Faixa 0226,Artista 185,2012,rock,0.777,0.647,0.81,0.24,0.1166,0.159,0.32,-6.74,141,216575,69,0
227,Faixa 0227,Artista 199,2019,trap,0.583,0.459,0.886,0.066,0.0175,0.056,0.02,-9.75,140,184259,63,0
228,Faixa 0228,Artista 265,2019,mpb,0.667,0.838,0.99,0.145,0.0566,0.106,0.131,-10.05,99,175295,100,1
229,Faixa 0229,Artista 156,2018,rock,0.622,0.99,0.621,0.535,0.0804,0.148,0.02,-2.46,109,217520,93,0
230,Faixa 0230,Artista 030,2022,eletronica,0.759,0.816,0.305,0.355,0.2834,0.411,0.209,-1.84,123,209485,100,1
231,Faixa 0231,Artista 079,2014,pop,0.267,0.364,0.672,0.08,0.061,0.106,0.242,-12.34,125,144024,16,0
232,Faixa 0232,Artista 055,2013,trap,0.625,0.738,0.192,0.28,0.0202,0.03,0.144,-6.91,88,182863,77,0
233,Faixa 0233,Artista 102,2017,sertanejo,0.439,0.659,0.625,0.324,0.0745,0.111,0.278,-5.5,113,175101,51,0
234,Faixa 0234,Artista 070,2024,rock,0.61,0.7,0.805,0.184,0.297,0.152,0.417,-6.84,105,228214,54,0
235,Faixa 0235,Artista 239,2014,trap,0.877,0.447,0.03,0.227,0.0921,0.136,0.1,-6.72,117,220790,54,0
236,Faixa 0236,Artista 146,2019,funk,0.643,0.699,0.234,0.091,0.107,0.142,0.287,-7.19,92,267726,75,0
237,Faixa 0237,Artista 321,2020,rock,0.929,0.673,0.622,0.215,0.0474,0.032,0.038,-5.57,127,242116,100,1
238,Faixa 0238,Artista 158,2017,eletronica,0.545,0.504,0.621,0.05,0.062,0.109,0.267,-8.47,151,149827,72,0
239,Faixa 0239,Artista 313,2023,sertanejo,0.579,0.576,0.451,0.036,0.0713,0.168,0.329,-3.1,102,216568,47,0
240,Faixa 0240,Artista 066,2012,trap,0.436,0.334,0.432,0.335,0.1557,0.184,0.198,-12.5,111,150481,0,0
241,Faixa 0241,Artista 344,2021,trap,0.577,0.782,0.659,0.196,0.0566,0.059,0.21,-5.74,144,182959,100,1
242,Faixa 0242,Artista 223,2011,rock,0.343,0.397,0.99,0.251,0.1646,0.097,0.216,-5.52,134,80000,35,0
243,Faixa 0243,Artista 112,2019,rock,0.978,0.888,0.622,0.082,0.0822,0.04,0.104,-6.18,106,146034,100,1
244,Faixa 0244,Artista 260,2015,mpb,0.502,0.939,0.597,0.34,0.0566,0.233,0.072,-1.0,56,246740,72,0
245,Faixa 0245,Artista 252,2010,trap,0.389,0.699,0.87,0.488,0.2832,0.147,0.182,-5.59,136,260195,21,0
246,Faixa 0246,Artista 202,2020,pop,0.528,0.656,0.648,0.266,0.1593,0.054,0.269,-10.05,73,267388,31,0
247,Faixa 0247,Artista 290,2015,sertanejo,0.817,0.357,0.223,0.201,0.0104,0.107,0.531,-1.62,143,242216,93,0
248,Faixa 0248,Artista 061,2013,sertanejo,0.874,0.759,0.464,0.159,0.4389,0.031,0.095,-5.59,88,228902,82,0
249,Faixa 0249,Artista 332,2013,rock,0.565,0.543,0.465,0.292,0.1308,0.093,0.129,-6.97,102,80000,39,0
250,Faixa 0250,Artista 093,2022,mpb,0.351,0.52,0.441,0.43,0.2494,0.132,0.164,-7.24,111,210616,0,0
251,Faixa 0251,Artista 118,2023,eletronica,0.779,0.681,0.287,0.33,0.0411,0.166,0.298,-2.28,110,143196,77,0
252,Faixa 0252,Artista 105,2023,eletronica,0.737,0.726,0.515,0.389,0.0834,0.238,0.128,-7.65,58,196833,94,0
253,Faixa 0253,Artista 156,2018,rock,0.562,0.764,0.506,0.395,0.174,0.189,0.296,-5.28,175,239200,49,0
254,Faixa 0254,Artista 128,2017,mpb,0.39,0.508,0.881,0.242,0.054,0.056,0.102,-11.99,77,264792,38,0
255,Faixa 0255,Artista 070,2011,funk,0.522,0.437,0.754,0.563,0.0481,0.261,0.092,-8.54,137,195973,26,0
256,Faixa 0256,Artista 264,2014,trap,0.743,0.569,0.639,0.343,0.3069,0.154,0.476,-1.46,128,232748,100,1
257,Faixa 0257,Artista 275,2012,sertanejo,0.435,0.421,0.673,0.24,0.3306,0.093,0.21,-10.41,105,226821,45,0
258,Faixa 0258,Artista 341,2015,funk,0.656,0.546,0.307,0.27,0.0137,0.168,0.205,-11.31,110,191368,44,0
259,Faixa 0259,Artista 047,2011,sertanejo,0.87,0.597,0.13,0.528,0.2885,0.115,0.426,-7.34,113,253864,49,0
260,Faixa 0260,Artista 091,2010,rock,0.639,0.568,0.4,0.193,0.2841,0.106,0.151,-1.0,111,245273,56,0
261,Faixa 0261,Artista 319,2022,pop,0.483,0.845,0.207,0.295,0.0823,0.105,0.281,-5.38,108,123764,37,0
262,Faixa 0262,Artista 248,2019,sertanejo,0.846,0.368,0.498,0.274,0.046,0.096,0.238,-8.44,133,195327,79,0
263,Faixa 0263,Artista 286,2023,mpb,0.451,0.836,0.317,0.478,0.0223,0.251,0.182,-6.59,136,164594,31,0
264,Faixa 0264,Artista 020,2022,rock,0.622,0.73,0.51,0.296,0.2033,0.249,0.258,-9.73,94,176412,63,0
265,Faixa 0265,Artista 117,2014,pop,0.557,0.888,0.661,0.111,0.2759,0.154,0.318,-6.65,107,117494,79,0
266,Faixa 0266,Artista 324,2013,mpb,0.778,0.353,0.504,0.112,0.2337,0.087,0.429,-3.64,101,223055,38,0
267,Faixa 0267,Artista 193,2018,sertanejo,0.279,0.668,0.217,0.605,0.0583,0.02,0.028,-6.26,123,237756,0,0
268,Faixa 0268,Artista 163,2024,mpb,0.517,0.767,0.697,0.61,0.0939,0.106,0.292,-5.93,100,248428,33,0
269,Faixa 0269,Artista 241,2016,sertanejo,0.557,0.566,0.306,0.199,0.0519,0.175,0.345,-12.27,113,145952,52,0
270,Faixa 0270,Artista 298,2022,eletronica,0.692,0.753,0.722,0.42,0.0084,0.046,0.164,-7.13,127,288607,86,0
271,Faixa 0271,Artista 248,2014,rock,0.713,0.853,0.54,0.383,0.0176,0.036,0.188,-7.89,108,204591,84,0
272,Faixa 0272,Artista 235,2024,trap,0.764,0.535,0.426,0.579,0.1971,0.285,0.237,-8.78,116,197302,77,0
273,Faixa 0273,Artista 092,2013,funk,0.623,0.704,0.582,0.398,0.4782,0.137,0.08,-7.44,55,203373,54,0
274,Faixa 0274,Artista 034,2015,funk,0.837,0.772,0.252,0.221,0.0479,0.199,0.238,-7.63,111,244264,84,0
275,Faixa 0275,Artista 230,2015,eletronica,0.709,0.593,0.643,0.049,0.0812,0.125,0.197,-10.69,150,157206,66,0
276,Faixa 0276,Artista 155,2022,sertanejo,0.64,0.622,0.706,0.279,0.085,0.123,0.229,-6.24,105,175302,82,0
277,Faixa 0277,Artista 210,2019,eletronica,0.8,0.436,0.628,0.096,0.0346,0.028,0.02,-10.17,110,194999,98,1
278,Faixa 0278,Artista 302,2024,rock,0.693,0.484,0.632,0.11,0.3267,0.478,0.044,-6.07,108,152471,50,0
279,Faixa 0279,Artista 289,2020,pop,0.455,0.629,0.533,0.252,0.0297,0.543,0.338,-4.37,134,264423,43,0
280,Faixa 0280,Artista 197,2014,pop,0.466,0.534,0.354,0.551,0.0748,0.074,0.33,-3.44,93,184850,20,0
281,Faixa 0281,Artista 188,2022,rock,0.454,0.518,0.664,0.135,0.0714,0.146,0.076,-3.22,119,152277,23,0
282,Faixa 0282,Artista 303,2017,eletronica,0.99,0.543,0.732,0.262,0.0608,0.093,0.392,-7.18,96,184284,100,1
283,Faixa 0283,Artista 291,2020,eletronica,0.575,0.864,0.563,0.388,0.3433,0.135,0.339,-7.59,133,214760,55,0
284,Faixa 0284,Artista 222,2019,rock,0.803,0.784,0.328,0.285,0.1756,0.236,0.334,-1.3,157,257075,100,1
285,Faixa 0285,Artista 159,2022,trap,0.444,0.99,0.309,0.194,0.1221,0.198,0.107,-4.07,131,154800,66,0
286,Faixa 0286,Artista 251,2014,pop,0.756,0.447,0.531,0.488,0.2302,0.231,0.156,-4.64,101,279340,14,0
287,Faixa 0287,Artista 271,2015,pop,0.537,0.782,0.513,0.184,0.2741,0.044,0.169,-5.45,144,185629,61,0
288,Faixa 0288,Artista 193,2018,trap,0.684,0.587,0.354,0.49,0.0994,0.066,0.121,-3.79,141,168316,38,0
289,Faixa 0289,Artista 062,2015,pop,0.497,0.402,0.054,0.579,0.2513,0.212,0.347,-6.57,120,189224,0,0
290,Faixa 0290,Artista 303,2023,sertanejo,0.352,0.476,0.689,0.305,0.2537,0.197,0.408,-7.24,117,240220,0,0
291,Faixa 0291,Artista 280,2024,funk,0.678,0.442,0.03,0.419,0.3368,0.223,0.036,-8.29,126,204736,3,0
292,Faixa 0292,Artista 304,2012,funk,0.366,0.739,0.394,0.189,0.2971,0.316,0.037,-5.43,153,225046,47,0
293,Faixa 0293,Artista 044,2019,trap,0.679,0.727,0.753,0.252,0.2336,0.07,0.13,-6.72,107,198037,79,0
294,Faixa 0294,Artista 157,2020,eletronica,0.644,0.243,0.524,0.286,0.2244,0.208,0.31,-8.4,128,258165,0,0
295,Faixa 0295,Artista 184,2010,pop,0.455,0.716,0.853,0.348,0.0996,0.046,0.176,-2.5,103,261648,85,0
296,Faixa 0296,Artista 109,2018,pop,0.563,0.495,0.665,0.068,0.0645,0.03,0.065,-2.89,153,264252,78,0
297,Faixa 0297,Artista 339,2024,rock,0.405,0.762,0.542,0.315,0.0734,0.021,0.02,-7.83,157,263148,8,0
298,Faixa 0298,Artista 130,2014,pop,0.572,0.525,0.578,0.456,0.1257,0.42,0.057,-6.86,139,221127,53,0
299,Faixa 0299,Artista 120,2016,sertanejo,0.479,0.842,0.354,0.245,0.0162,0.02,0.174,-6.15,79,174346,39,0
300,Faixa 0300,Artista 223,2021,sertanejo,0.77,0.713,0.566,0.266,0.2686,0.05,0.104,-6.29,88,137325,78,0
301,Faixa 0301,Artista 335,2018,sertanejo,0.317,0.638,0.647,0.064,0.2282,0.222,0.318,-4.5,128,131332,14,0
302,Faixa 0302,Artista 098,2023,rock,0.596,0.622,0.309,0.207,0.1595,0.131,0.316,-5.51,81,164861,40,0
303,Faixa 0303,Artista 143,2021,sertanejo,0.814,0.644,0.591,0.401,0.0959,0.036,0.041,-15.05,141,126839,100,1
304,Faixa 0304,Artista 137,2017,sertanejo,0.619,0.71,0.253,0.429,0.1428,0.112,0.318,-8.0,74,228555,60,0
305,Faixa 0305,Artista 199,2020,rock,0.741,0.761,0.688,0.159,0.0279,0.049,0.112,-4.63,123,243194,100,1
306,Faixa 0306,Artista 067,2020,mpb,0.542,0.428,0.583,0.181,0.0063,0.055,0.43,-6.97,100,281712,57,0
307,Faixa 0307,Artista 219,2015,funk,0.502,0.516,0.568,0.157,0.1464,0.111,0.041,-3.71,160,222096,60,0
308,Faixa 0308,Artista 082,2022,rock,0.581,0.546,0.522,0.399,0.3329,0.141,0.03,-9.6,109,236675,9,0
309,Faixa 0309,Artista 313,2016,funk,0.704,0.487,0.405,0.316,0.0332,0.136,0.285,-5.85,125,171793,36,0
310,Faixa 0310,Artista 261,2024,trap,0.536,0.756,0.42,0.134,0.157,0.02,0.378,-8.91,152,231703,50,0
311,Faixa 0311,Artista 066,2017,pop,0.544,0.407,0.214,0.337,0.2514,0.078,0.141,-6.11,106,176868,0,0
312,Faixa 0312,Artista 029,2016,mpb,0.902,0.532,0.471,0.455,0.1154,0.204,0.192,-4.91,81,271381,77,0
313,Faixa 0313,Artista 297,2021,eletronica,0.668,0.556,0.543,0.416,0.1165,0.05,0.412,-7.89,139,116554,54,0
314,Faixa 0314,Artista 109,2019,pop,0.851,0.366,0.677,0.414,0.2207,0.177,0.268,-3.71,126,206860,42,0
315,Faixa 0315,Artista 160,2014,trap,0.497,0.655,0.432,0.261,0.025,0.278,0.248,-8.97,124,224953,55,0
316,Faixa 0316,Artista 107,2017,sertanejo,0.77,0.432,0.754,0.167,0.1971,0.118,0.413,-2.19,127,186590,100,1
317,Faixa 0317,Artista 316,2010,rock,0.477,0.99,0.479,0.302,0.3394,0.177,0.558,-6.43,111,247723,39,0
318,Faixa 0318,Artista 058,2014,mpb,0.644,0.699,0.459,0.157,0.1262,0.073,0.272,-6.65,146,227043,59,0
319,Faixa 0319,Artista 142,2020,eletronica,0.539,0.689,0.564,0.136,0.0969,0.244,0.171,-7.7,109,80000,32,0
320,Faixa 0320,Artista 293,2024,sertanejo,0.516,0.767,0.628,0.219,0.1984,0.08,0.181,-4.44,100,358019,67,0
321,Faixa 0321,Artista 187,2023,funk,0.602,0.758,0.726,0.2,0.3266,0.02,0.131,-8.84,134,246025,100,1
322,Faixa 0322,Artista 040,2011,mpb,0.689,0.45,0.399,0.192,0.0979,0.059,0.053,-8.22,165,175667,44,0
323,Faixa 0323,Artista 266,2019,sertanejo,0.293,0.699,0.757,0.05,0.014,0.339,0.154,-4.87,104,188106,44,0
324,Faixa 0324,Artista 062,2010,pop,0.765,0.527,0.887,0.082,0.2186,0.023,0.123,-1.0,154,147937,56,0
325,Faixa 0325,Artista 038,2019,eletronica,0.647,0.698,0.887,0.521,0.0293,0.031,0.234,-7.66,112,187306,82,0
326,Faixa 0326,Artista 256,2021,rock,0.422,0.458,0.785,0.025,0.0062,0.079,0.197,-1.0,91,175353,44,0
327,Faixa 0327,Artista 322,2010,eletronica,0.604,0.176,0.865,0.402,0.1253,0.203,0.152,-6.53,130,151865,59,0
328,Faixa 0328,Artista 273,2020,eletronica,0.794,0.658,0.619,0.454,0.0548,0.02,0.164,-12.71,124,267523,100,1
329,Faixa 0329,Artista 204,2010,funk,0.498,0.383,0.389,0.107,0.1756,0.122,0.177,-6.99,120,166850,44,0
330,Faixa 0330,Artista 152,2016,rock,0.599,0.736,0.637,0.445,0.1145,0.253,0.02,-1.0,129,200517,83,0
331,Faixa 0331,Artista 029,2010,trap,0.717,0.673,0.637,0.293,0.1283,0.107,0.155,-3.5,173,143125,86,0
332,Faixa 0332,Artista 052,2016,funk,0.922,0.678,0.504,0.138,0.2213,0.108,0.327,-1.0,107,225180,100,1
333,Faixa 0333,Artista 134,2014,rock,0.446,0.616,0.438,0.624,0.3646,0.269,0.177,-6.12,120,210120,0,0
334,Faixa 0334,Artista 205,2022,eletronica,0.495,0.429,0.516,0.305,0.0492,0.277,0.425,-4.34,117,264713,32,0
335,Faixa 0335,Artista 247,2018,trap,0.293,0.434,0.361,0.121,0.4566,0.174,0.162,-1.76,93,221655,0,0
336,Faixa 0336,Artista 081,2021,funk,0.662,0.603,0.542,0.595,0.1173,0.104,0.064,-6.92,148,271249,52,0
337,Faixa 0337,Artista 068,2016,rock,0.61,0.753,0.564,0.541,0.2263,0.113,0.219,-7.13,125,135700,48,0
338,Faixa 0338,Artista 220,2021,sertanejo,0.48,0.933,0.431,0.18,0.3634,0.049,0.043,-4.87,91,226378,100,1
339,Faixa 0339,Artista 209,2017,mpb,0.44,0.562,0.03,0.166,0.1287,0.118,0.13,-7.74,138,227789,24,0
340,Faixa 0340,Artista 030,2011,sertanejo,0.577,0.853,0.296,0.191,0.1209,0.07,0.228,-1.21,145,119320,55,0
341,Faixa 0341,Artista 249,2015,rock,0.773,0.493,0.597,0.428,0.0036,0.112,0.041,-7.96,113,239963,29,0
342,Faixa 0342,Artista 103,2015,sertanejo,0.755,0.235,0.609,0.339,0.1103,0.103,0.118,-12.38,61,146988,48,0
343,Faixa 0343,Artista 305,2021,pop,0.597,0.758,0.294,0.472,0.1,0.113,0.05,-9.83,163,189041,57,0
344,Faixa 0344,Artista 011,2011,funk,0.438,0.535,0.241,0.384,0.3678,0.101,0.138,-9.63,142,201036,16,0
345,Faixa 0345,Artista 254,2010,funk,0.357,0.969,0.61,0.376,0.133,0.178,0.29,-14.73,152,259287,34,0
346,Faixa 0346,Artista 325,2022,pop,0.508,0.615,0.399,0.376,0.1627,0.051,0.182,-10.09,109,144681,7,0
347,Faixa 0347,Artista 051,2022,eletronica,0.274,0.957,0.874,0.236,0.2202,0.18,0.246,-4.97,162,230871,47,0
348,Faixa 0348,Artista 132,2018,rock,0.443,0.626,0.927,0.255,0.155,0.268,0.066,-13.11,163,203789,90,0
349,Faixa 0349,Artista 136,2015,trap,0.471,0.508,0.684,0.766,0.0705,0.028,0.425,-8.54,80,263958,22,0
350,Faixa 0350,Artista 208,2023,rock,0.564,0.406,0.297,0.588,0.1682,0.342,0.034,-9.76,88,152184,8,0
351,Faixa 0351,Artista 199,2020,pop,0.649,0.794,0.677,0.359,0.3831,0.203,0.042,-2.79,130,110584,73,0
352,Faixa 0352,Artista 262,2014,funk,0.844,0.783,0.483,0.579,0.2289,0.06,0.475,-6.48,149,124561,82,0
353,Faixa 0353,Artista 220,2014,rock,0.789,0.671,0.918,0.414,0.0967,0.047,0.241,-6.39,142,259049,56,0
354,Faixa 0354,Artista 328,2019,mpb,0.521,0.534,0.641,0.375,0.1544,0.152,0.471,-3.34,141,198413,71,0
355,Faixa 0355,Artista 250,2021,mpb,0.643,0.666,0.657,0.376,0.0614,0.032,0.151,-11.09,114,219374,68,0
356,Faixa 0356,Artista 179,2015,trap,0.82,0.585,0.455,0.072,0.1917,0.211,0.382,-10.52,55,237377,66,0
357,Faixa 0357,Artista 170,2010,sertanejo,0.717,0.669,0.381,0.537,0.203,0.086,0.02,-8.02,128,243323,19,0
358,Faixa 0358,Artista 225,2010,pop,0.448,0.404,0.256,0.355,0.0307,0.02,0.147,-13.3,144,257087,27,0
359,Faixa 0359,Artista 290,2016,eletronica,0.73,0.525,0.473,0.252,0.0665,0.029,0.36,-10.76,107,220298,76,0
360,Faixa 0360,Artista 305,2013,funk,0.623,0.491,0.459,0.26,0.3633,0.104,0.222,-12.2,201,162957,31,0
361,Faixa 0361,Artista 039,2014,sertanejo,0.758,0.757,0.419,0.293,0.0523,0.08,0.02,-6.73,109,165218,100,1
362,Faixa 0362,Artista 049,2018,pop,0.616,0.525,0.271,0.295,0.4613,0.145,0.192,-7.6,134,253795,24,0
363,Faixa 0363,Artista 126,2015,rock,0.715,0.853,0.595,0.272,0.0565,0.23,0.15,-8.62,139,186451,89,0
364,Faixa 0364,Artista 211,2011,trap,0.861,0.572,0.539,0.526,0.0163,0.195,0.038,-1.0,110,151312,93,0
365,Faixa 0365,Artista 176,2019,mpb,0.564,0.773,0.441,0.245,0.1016,0.194,0.117,-4.56,104,171540,66,0
366,Faixa 0366,Artista 214,2013,pop,0.78,0.672,0.696,0.173,0.1965,0.289,0.128,-8.72,113,196876,100,1
367,Faixa 0367,Artista 264,2023,sertanejo,0.695,0.766,0.468,0.194,0.1783,0.074,0.174,-7.22,107,174829,100,1
368,Faixa 0368,Artista 260,2016,trap,0.71,0.656,0.207,0.418,0.0748,0.074,0.282,-11.98,152,221603,50,0
369,Faixa 0369,Artista 283,2015,pop,0.644,0.694,0.699,0.525,0.1294,0.064,0.186,-7.98,156,139554,40,0
370,Faixa 0370,Artista 059,2014,trap,0.705,0.734,0.407,0.071,0.0709,0.249,0.221,-3.15,84,239550,78,0
371,Faixa 0371,Artista 220,2020,mpb,0.843,0.673,0.77,0.319,0.2386,0.209,0.02,-7.57,68,193750,86,0
372,Faixa 0372,Artista 219,2012,sertanejo,0.406,0.471,0.512,0.554,0.1306,0.293,0.397,-9.45,135,98394,19,0
373,Faixa 0373,Artista 246,2023,trap,0.685,0.522,0.229,0.424,0.5012,0.184,0.288,-4.32,112,196539,20,0
374,Faixa 0374,Artista 053,2020,eletronica,0.812,0.699,0.593,0.002,0.0929,0.203,0.149,-3.95,133,215132,100,1
375,Faixa 0375,Artista 067,2015,trap,0.612,0.646,0.03,0.117,0.1285,0.138,0.536,-9.93,131,155138,57,0
376,Faixa 0376,Artista 088,2017,sertanejo,0.746,0.819,0.597,0.039,0.1054,0.04,0.183,-5.18,151,177926,100,1
377,Faixa 0377,Artista 268,2022,eletronica,0.593,0.577,0.03,0.542,0.0472,0.371,0.254,-10.66,142,182263,19,0
378,Faixa 0378,Artista 098,2016,mpb,0.752,0.05,0.242,0.448,0.0433,0.098,0.131,-7.08,155,176657,20,0
379,Faixa 0379,Artista 314,2020,pop,0.79,0.687,0.299,0.158,0.1142,0.158,0.291,-5.13,120,144534,100,1
380,Faixa 0380,Artista 216,2014,trap,0.539,0.594,0.348,0.216,0.2825,0.032,0.075,-4.65,139,299449,52,0
381,Faixa 0381,Artista 097,2010,eletronica,0.629,0.778,0.265,0.108,0.2735,0.178,0.036,-4.92,138,193054,67,0
382,Faixa 0382,Artista 221,2013,mpb,0.438,0.577,0.457,0.161,0.1974,0.047,0.354,-6.76,120,203151,48,0
383,Faixa 0383,Artista 030,2024,rock,0.423,0.466,0.03,0.496,0.0576,0.129,0.133,-6.64,150,173497,15,0
384,Faixa 0384,Artista 335,2021,funk,0.534,0.63,0.735,0.254,0.1289,0.061,0.24,-4.06,130,241017,81,0
385,Faixa 0385,Artista 151,2020,rock,0.757,0.632,0.046,0.435,0.1033,0.164,0.194,-10.23,136,218424,68,0
386,Faixa 0386,Artista 094,2016,funk,0.348,0.472,0.738,0.128,0.1396,0.067,0.073,-9.76,87,132264,15,0
387,Faixa 0387,Artista 246,2013,eletronica,0.29,0.497,0.598,0.24,0.0907,0.02,0.583,-14.0,128,252802,0,0
388,Faixa 0388,Artista 285,2016,trap,0.565,0.774,0.237,0.542,0.2614,0.441,0.02,-9.87,107,213303,13,0
389,Faixa 0389,Artista 046,2012,trap,0.698,0.59,0.299,0.368,0.0524,0.357,0.052,-8.61,142,214152,53,0
390,Faixa 0390,Artista 202,2012,rock,0.559,0.334,0.429,0.31,0.0072,0.056,0.185,-8.05,101,187795,52,0
391,Faixa 0391,Artista 067,2013,mpb,0.707,0.687,0.507,0.594,0.3657,0.026,0.21,-4.49,108,150803,48,0
392,Faixa 0392,Artista 019,2014,funk,0.927,0.487,0.775,0.224,0.4833,0.222,0.14,-7.81,103,227891,87,0
393,Faixa 0393,Artista 347,2014,rock,0.459,0.99,0.941,0.228,0.0645,0.073,0.283,-7.37,102,112482,53,0
394,Faixa 0394,Artista 054,2018,funk,0.504,0.515,0.03,0.439,0.0737,0.125,0.159,-11.43,119,233641,3,0
395,Faixa 0395,Artista 101,2014,trap,0.505,0.692,0.628,0.308,0.0274,0.128,0.154,-4.2,124,199262,67,0
396,Faixa 0396,Artista 245,2011,trap,0.588,0.648,0.332,0.143,0.2426,0.178,0.278,-8.02,67,165894,17,0
397,Faixa 0397,Artista 083,2021,rock,0.325,0.389,0.657,0.121,0.4455,0.154,0.275,-5.95,126,181430,0,0
398,Faixa 0398,Artista 205,2022,pop,0.979,0.51,0.531,0.488,0.0715,0.161,0.397,-8.5,103,180621,100,1
399,Faixa 0399,Artista 127,2021,funk,0.447,0.818,0.095,0.465,0.1302,0.16,0.32,-9.53,94,177483,23,0
400,Faixa 0400,Artista 272,2012,pop,0.601,0.826,0.61,0.339,0.2686,0.129,0.2,-3.73,148,216140,94,0
401,Faixa 0401,Artista 189,2013,sertanejo,0.569,0.574,0.604,0.564,0.2247,0.075,0.12,-6.15,153,148427,54,0
402,Faixa 0402,Artista 288,2022,pop,0.712,0.517,0.816,0.073,0.088,0.167,0.156,-12.37,107,112625,48,0
403,Faixa 0403,Artista 290,2024,trap,0.626,0.52,0.519,0.258,0.0965,0.133,0.26,-5.76,114,215272,59,0
404,Faixa 0404,Artista 044,2012,funk,0.767,0.779,0.364,0.123,0.5338,0.057,0.217,-1.63,108,265637,93,0
405,Faixa 0405,Artista 111,2023,mpb,0.861,0.54,0.878,0.134,0.0122,0.332,0.213,-8.05,92,128473,100,1
406,Faixa 0406,Artista 126,2018,sertanejo,0.716,0.516,0.425,0.267,0.0481,0.213,0.029,-1.0,103,241905,81,0
407,Faixa 0407,Artista 010,2023,sertanejo,0.697,0.739,0.292,0.127,0.1023,0.249,0.192,-8.13,147,183482,100,1
408,Faixa 0408,Artista 310,2023,pop,0.613,0.827,0.822,0.381,0.08,0.255,0.106,-6.86,102,213407,81,0
409,Faixa 0409,Artista 158,2021,pop,0.567,0.723,0.684,0.416,0.3053,0.171,0.312,-8.74,125,172330,56,0
410,Faixa 0410,Artista 011,2016,rock,0.615,0.567,0.072,0.188,0.2847,0.317,0.105,-9.24,94,232412,15,0
411,Faixa 0411,Artista 326,2022,sertanejo,0.556,0.536,0.03,0.013,0.0242,0.375,0.45,-9.41,149,110122,5,0
412,Faixa 0412,Artista 252,2018,rock,0.747,0.64,0.406,0.254,0.2542,0.201,0.27,-7.76,180,230216,61,0
413,Faixa 0413,Artista 053,2017,mpb,0.844,0.99,0.352,0.132,0.2587,0.191,0.323,-4.95,133,170356,100,1
414,Faixa 0414,Artista 219,2023,rock,0.798,0.38,0.104,0.28,0.1639,0.056,0.31,-14.09,55,178908,18,0
415,Faixa 0415,Artista 239,2013,trap,0.54,0.664,0.744,0.153,0.0433,0.112,0.197,-2.21,121,213530,85,0
416,Faixa 0416,Artista 068,2022,trap,0.63,0.774,0.369,0.485,0.1864,0.179,0.152,-10.52,146,150411,73,0
417,Faixa 0417,Artista 272,2012,eletronica,0.777,0.703,0.339,0.3,0.1613,0.285,0.069,-8.08,136,199248,53,0
418,Faixa 0418,Artista 308,2017,eletronica,0.651,0.553,0.394,0.217,0.0769,0.286,0.164,-10.2,92,178764,41,0
419,Faixa 0419,Artista 103,2024,mpb,0.564,0.7,0.402,0.257,0.1568,0.145,0.051,-8.95,135,180192,66,0
420,Faixa 0420,Artista 341,2020,funk,0.478,0.644,0.656,0.475,0.1942,0.329,0.319,-4.68,68,130648,74,0
421,Faixa 0421,Artista 187,2011,trap,0.526,0.81,0.036,0.317,0.3794,0.058,0.433,-7.21,157,216646,62,0
