id,posicao,idade,liga,altura,jogos,minutos,gols,assistencias,finalizacoes,passes_certos_pct,dribles_certos,desarmes,interceptacoes,duelos_ganhos_pct,velocidade,indice_popularidade,valor_mercado_milhoes
260,ATA,23,C,1.68,15,1122,7,0,29,89.5,2.7,3.6,1.6,50.7,68,32,0.6
261,ZAG,29,A,1.82,35,1862,4,1,15,82.3,0.9,3.2,3.1,58.5,86,74,4.3
262,VOL,25,B,1.68,25,1612,4,5,26,71.1,0.0,3.8,3.2,72.6,80,60,1.8
263,ATA,33,C,1.87,14,1211,6,3,16,67.5,1.5,0.6,1.5,57.6,86,21,0.2
264,LAT,30,B,1.87,15,1268,0,3,0,77.8,1.0,2.7,1.8,57.9,73,30,0.3
265,MEI,18,A,1.82,36,3035,9,10,42,86.7,2.4,1.4,1.4,46.7,80,79,5.1
266,ZAG,23,A,1.85,21,1169,0,0,0,83.1,1.1,2.1,3.8,39.3,82,46,0.5
267,VOL,30,C,1.82,24,1948,1,5,1,76.1,1.1,1.6,1.8,56.8,75,43,0.2
268,GOL,26,A,1.89,26,1822,0,0,4,74.4,0.2,3.0,1.7,59.4,66,27,0.2
269,VOL,25,A,1.85,16,1059,1,1,2,78.0,1.7,3.3,3.3,57.3,76,69,3.7
270,VOL,25,B,1.8,13,739,0,3,1,80.3,2.0,5.4,1.7,47.6,74,66,3.8
271,MEI,26,B,1.72,24,1217,5,8,24,75.8,2.1,2.6,0.4,57.1,78,57,1.4
272,MEI,26,B,1.82,34,1625,5,11,16,78.1,2.0,0.8,0.2,58.4,74,38,0.7
273,ZAG,26,A,1.92,29,2553,1,4,10,88.2,0.8,4.7,2.7,51.0,76,66,4.3
274,VOL,24,B,1.71,42,3521,3,4,11,68.6,2.6,5.5,2.0,50.0,82,48,3.6
275,MEI,24,B,1.79,46,3538,16,21,100,85.3,2.5,2.1,1.3,55.9,79,54,3.0
276,VOL,28,B,1.65,37,2884,4,7,6,78.1,1.5,3.9,2.0,54.8,74,35,1.5
277,MEI,19,A,1.71,33,2957,11,11,48,80.3,0.4,1.9,1.1,44.0,84,44,1.4
278,LAT,18,B,1.68,41,1912,5,3,39,86.5,2.0,1.2,2.3,59.1,78,30,0.4
279,VOL,20,A,1.89,29,2171,6,1,37,69.9,2.2,4.1,3.1,57.7,90,71,4.0
280,ATA,24,A,1.8,32,1977,22,7,140,68.3,2.3,1.0,2.0,57.3,80,84,5.4
281,LAT,24,A,1.75,17,1523,1,1,5,89.6,1.3,2.7,0.4,67.1,72,38,0.7
282,VOL,28,B,1.78,16,1046,1,4,5,82.3,2.7,2.7,1.4,46.0,85,47,3.5
283,ZAG,21,A,1.76,32,2735,0,0,5,74.1,0.7,3.3,2.3,64.5,74,29,0.6
284,ZAG,31,A,1.76,27,1457,1,2,8,90.2,2.0,5.1,2.9,50.5,72,77,4.8
285,MEI,30,A,1.69,26,1893,6,13,37,70.4,1.1,2.3,1.7,56.3,84,54,2.1
286,ATA,33,C,1.73,18,1243,7,7,43,87.9,1.9,1.6,1.3,52.1,86,37,1.0
287,VOL,25,A,1.82,26,1633,1,8,7,82.7,3.0,4.6,1.6,59.5,85,84,6.1
288,VOL,27,C,1.77,46,2575,4,6,25,92.9,1.1,4.3,0.5,50.0,72,45,0.5
289,MEI,19,A,1.95,43,2106,16,13,74,85.9,3.1,1.8,1.1,47.3,71,73,4.7
290,GOL,29,A,1.78,26,1669,0,0,3,87.6,1.2,2.1,0.7,44.5,71,28,0.2
291,VOL,27,C,1.74,38,2451,4,5,29,88.6,1.0,5.3,2.3,55.2,75,86,3.1
292,ATA,26,B,1.76,39,3322,20,6,97,81.7,2.7,2.7,2.6,57.8,74,60,4.4
293,VOL,23,B,1.72,30,1892,5,4,21,78.3,0.0,3.1,2.8,52.8,81,31,0.6
294,GOL,25,A,1.8,25,1285,0,0,7,83.6,2.6,2.7,1.6,46.8,81,40,1.4
295,VOL,23,B,1.72,18,1181,1,1,3,74.6,0.0,3.1,2.6,65.1,79,34,0.7
296,VOL,28,B,1.7,23,2008,2,3,12,87.4,1.5,2.1,4.0,53.9,71,64,2.5
297,MEI,24,C,1.76,24,2073,11,14,76,87.7,2.7,3.1,1.0,44.5,87,48,1.9
298,VOL,29,A,1.74,16,996,2,0,17,74.4,0.9,2.2,2.8,42.1,64,24,0.2
299,MEI,29,A,1.7,28,1894,10,8,50,66.3,3.3,1.4,1.2,72.8,84,100,7.1
300,GOL,28,A,1.84,34,1531,0,0,5,81.7,0.0,0.0,0.3,49.5,65,29,0.2
301,VOL,26,C,1.86,22,1016,5,0,34,83.1,0.7,3.6,2.9,58.5,62,31,0.2
302,ZAG,20,B,1.65,21,1036,1,1,0,80.5,2.1,2.5,3.3,48.6,63,40,0.4
303,LAT,21,B,1.85,34,2920,4,12,17,71.1,0.7,3.4,0.5,67.5,74,47,1.5
304,VOL,29,A,1.86,27,1604,1,8,5,79.2,0.0,3.4,0.4,50.3,86,63,2.7
305,LAT,21,C,1.74,34,3027,5,7,17,78.3,0.8,2.2,2.1,56.3,68,50,0.2
306,ZAG,23,A,2.0,28,2021,2,1,8,80.9,2.5,2.6,1.2,48.9,83,33,1.1
307,ZAG,29,C,1.86,33,2034,1,1,7,85.8,0.4,3.6,2.2,52.2,90,23,0.4
308,ZAG,18,C,1.8,25,1672,2,1,13,78.4,1.5,3.8,2.4,55.0,72,19,0.2
309,VOL,28,B,1.81,17,1519,2,3,10,79.3,1.6,3.1,2.1,42.4,85,53,1.5
310,ATA,24,A,1.78,32,2691,15,8,82,80.5,2.3,2.7,2.5,46.8,84,100,11.8
311,LAT,26,B,1.71,27,1240,1,4,2,88.0,1.5,2.0,0.9,40.9,77,47,0.2
312,LAT,24,A,1.89,29,1546,1,10,7,75.8,2.1,2.2,1.2,43.2,78,60,2.4
313,MEI,24,B,1.97,35,1975,13,7,53,81.7,3.4,0.5,1.1,62.5,79,49,2.7
314,VOL,25,C,1.8,27,1786,1,3,8,85.4,0.0,1.8,3.9,44.4,66,10,0.2
315,VOL,29,A,1.74,29,2087,4,7,28,65.9,0.5,2.2,3.1,62.6,81,71,2.8
316,VOL,16,A,1.92,30,1373,5,2,29,64.4,0.0,6.2,3.2,46.1,77,30,0.5
317,ZAG,20,A,1.85,22,1600,1,1,7,90.7,2.1,3.4,2.9,48.4,82,60,2.5
318,ZAG,26,C,1.78,24,1265,2,3,10,80.9,1.3,3.3,2.6,62.2,59,42,0.7
319,VOL,25,C,1.94,18,1311,2,2,16,87.4,1.6,4.0,3.5,50.6,86,49,1.4
320,LAT,26,A,1.78,32,1850,6,8,33,82.6,0.5,1.2,1.3,55.0,89,62,1.0
321,VOL,22,A,1.67,27,2258,3,1,9,79.5,1.1,2.9,2.6,54.2,86,61,2.5
322,ATA,22,C,1.91,15,866,7,4,33,89.0,2.7,3.6,1.1,43.3,92,35,0.7
323,MEI,31,A,1.73,28,1754,7,12,43,74.8,1.7,4.0,0.5,47.4,84,61,2.5
324,LAT,26,A,1.78,30,2394,1,5,11,67.8,0.0,3.0,0.2,49.8,83,23,0.2
325,ATA,17,A,1.81,25,1409,14,6,62,79.3,2.7,2.3,2.0,51.6,87,42,1.8
326,LAT,24,A,1.78,29,1953,1,6,3,92.8,0.0,1.9,2.6,46.3,74,50,2.1
327,ZAG,18,A,1.87,30,1502,1,3,0,85.6,1.4,3.8,3.2,55.6,70,31,0.6
328,ZAG,28,B,1.88,13,717,1,0,8,93.1,0.6,4.7,1.7,48.9,76,37,1.0
329,MEI,28,B,1.83,42,2002,8,15,38,64.1,2.1,2.0,0.6,49.0,75,54,1.9
330,MEI,24,C,1.67,5,353,0,1,1,72.2,1.3,1.6,0.0,43.6,92,32,0.2
331,ATA,24,C,1.76,20,1480,10,2,36,67.1,1.3,3.4,0.5,52.2,81,42,0.2
332,ATA,30,C,1.82,40,2333,18,6,111,80.4,2.4,1.6,1.2,52.2,92,59,4.1
333,ATA,26,C,1.62,26,1910,23,4,87,77.6,2.7,0.4,2.5,49.8,98,56,3.5
334,ZAG,22,C,1.93,15,1085,1,1,3,79.8,1.0,2.9,2.8,47.7,76,46,0.2
335,ZAG,31,A,1.75,16,911,0,0,0,86.8,3.5,3.0,2.1,51.2,61,34,0.9
336,ATA,26,A,1.82,35,1808,17,6,71,78.4,2.6,4.0,1.4,63.5,78,54,3.3
337,ATA,26,B,1.74,26,1589,17,3,105,83.0,2.6,2.1,1.4,59.6,75,47,2.3
338,GOL,21,C,1.93,28,1679,0,0,0,77.2,0.6,2.9,1.4,47.3,77,33,0.2
339,VOL,27,B,1.72,24,1872,0,7,0,74.8,0.6,3.0,1.9,61.4,77,50,0.8
340,VOL,19,A,1.92,25,1783,3,2,19,80.0,1.0,2.8,2.3,56.6,96,53,1.1
341,VOL,30,B,1.69,29,1896,0,1,3,82.6,1.3,4.8,3.2,55.6,68,57,1.8
342,GOL,29,C,1.83,22,1161,0,0,2,83.5,2.8,2.8,0.6,51.6,83,36,0.5
343,MEI,16,B,1.86,31,2690,12,13,58,76.5,2.1,3.8,1.1,58.8,88,43,0.8
344,GOL,26,B,1.8,34,2112,0,0,2,78.4,2.3,3.0,0.7,62.9,66,55,0.2
345,LAT,29,C,1.86,30,1982,2,6,3,79.8,1.6,1.9,0.6,54.9,87,39,0.9
346,ZAG,24,B,1.89,32,2189,2,1,2,92.0,2.0,3.5,2.8,59.4,67,52,3.5
347,LAT,28,C,1.88,36,1840,4,8,8,81.4,0.0,0.7,0.0,52.8,95,33,0.2
348,GOL,31,A,1.85,31,1460,0,0,5,78.4,0.9,2.2,1.9,56.6,60,33,0.2
349,ATA,24,B,1.69,30,2463,14,10,86,93.2,2.6,3.0,2.0,54.0,85,59,2.7
350,ATA,20,B,1.93,22,1373,18,4,87,71.1,2.7,2.4,2.9,55.0,83,55,2.1
351,VOL,27,B,1.86,7,467,0,1,0,84.5,2.5,3.0,2.1,58.9,67,61,2.3
352,ZAG,25,B,1.84,33,2276,1,2,10,87.5,0.6,3.5,2.5,49.8,81,39,1.3
353,MEI,33,A,1.75,24,1550,8,13,52,76.7,2.6,1.6,1.0,34.8,70,53,2.3
354,MEI,16,B,1.82,34,2892,16,9,55,73.2,0.5,3.4,1.3,47.0,72,46,0.2
355,VOL,23,C,1.82,38,2390,5,7,14,77.4,1.5,2.4,4.2,40.3,83,38,0.8
356,ATA,23,B,1.81,27,1648,11,4,43,75.5,2.7,2.3,1.5,41.6,79,42,1.5
357,ATA,26,A,1.78,38,2952,24,8,116,74.9,2.0,4.2,0.0,55.1,82,100,7.2
358,ZAG,20,B,1.83,19,1539,0,2,0,75.1,2.7,3.1,2.5,45.4,88,45,0.7
359,MEI,24,C,1.89,29,2507,4,11,20,79.7,2.0,1.2,1.3,69.5,87,34,1.1
360,LAT,27,A,1.8,12,645,1,6,6,88.5,2.5,0.0,1.3,35.5,99,34,1.1
361,ATA,21,B,1.82,10,790,6,1,39,75.6,1.9,1.0,0.7,67.4,91,34,0.6
362,ATA,22,A,1.9,32,2141,12,8,46,82.6,5.1,1.0,1.0,65.6,90,100,10.8
363,VOL,18,A,1.95,34,2042,3,3,12,79.3,1.5,2.8,2.9,63.5,75,30,0.7
364,MEI,17,C,1.85,32,2778,9,11,59,71.1,0.0,1.5,2.8,43.0,72,48,0.2
365,ATA,22,B,1.79,17,1446,6,2,36,81.6,2.1,2.3,0.6,49.0,95,60,0.9
366,ZAG,22,A,1.76,39,1848,1,1,7,95.8,2.1,3.8,3.1,39.7,82,100,4.5
367,LAT,26,A,1.84,23,1573,1,5,1,74.1,2.4,2.2,1.0,51.2,88,39,1.2
368,ZAG,27,C,1.82,32,1793,2,1,9,85.6,0.4,2.8,1.4,51.5,72,43,0.2
369,GOL,26,B,1.87,41,2686,0,0,0,72.8,0.0,1.5,2.4,47.8,63,34,0.2
370,LAT,35,B,1.77,13,740,1,2,0,72.9,4.1,2.1,1.7,41.3,82,33,0.2
371,ATA,27,B,1.76,20,1496,8,5,27,84.8,3.7,1.5,1.2,50.5,99,81,5.1
372,GOL,27,C,1.78,23,2053,0,0,0,76.4,1.4,1.4,1.9,55.0,83,39,0.4
373,GOL,21,B,1.82,25,1639,0,0,0,84.8,1.7,1.6,1.8,62.5,73,42,0.4
374,MEI,26,C,1.85,17,780,0,4,4,74.9,2.9,2.1,0.7,60.6,71,32,0.2
375,ZAG,27,C,1.86,26,1860,2,2,7,85.3,2.6,2.1,2.4,43.8,88,46,0.9
376,VOL,20,A,1.76,46,4038,3,9,13,77.6,1.8,3.5,2.6,61.0,67,66,2.1
377,VOL,18,A,1.85,28,2334,5,8,22,68.8,1.9,2.6,3.1,50.2,84,75,3.9
378,VOL,25,C,1.94,47,4015,5,7,14,79.8,2.0,4.2,1.6,45.6,81,55,1.3
379,VOL,25,A,1.81,36,1856,4,6,21,70.0,0.0,2.4,3.0,46.1,68,27,0.2
380,VOL,24,A,1.77,31,1406,5,3,19,81.2,0.6,2.9,2.2,38.0,79,39,0.6
381,VOL,25,B,1.93,48,3969,8,3,39,77.1,1.2,2.9,1.5,68.8,75,51,1.1
382,MEI,23,B,1.76,33,2938,9,14,51,81.6,2.6,1.3,0.7,62.7,70,82,4.5
383,GOL,22,B,1.74,26,1536,0,0,0,67.5,0.7,1.5,0.6,49.1,59,37,0.2
384,MEI,24,B,1.76,7,501,2,0,8,75.2,0.7,2.1,1.7,40.8,88,34,0.2
385,ATA,29,A,1.81,14,820,7,2,40,84.7,2.4,1.0,1.7,59.5,79,36,2.5
386,MEI,24,B,1.75,26,2187,10,6,39,89.1,1.3,1.7,1.3,50.7,81,64,3.3
387,ZAG,26,A,1.73,33,2941,4,0,22,83.9,1.0,2.0,2.6,55.5,79,38,1.2
388,ZAG,28,A,1.7,35,2771,1,1,3,63.6,2.6,2.3,3.0,66.2,78,44,2.8
389,ATA,26,B,1.78,41,3575,30,10,140,76.5,2.6,2.7,1.1,42.0,82,100,11.6
390,ATA,22,A,1.93,30,1475,20,4,69,68.6,1.9,2.2,1.6,47.9,64,78,6.3
391,ZAG,19,B,1.78,43,2117,3,1,28,77.3,0.0,4.9,2.6,58.6,85,20,1.1
392,MEI,25,B,1.9,31,1940,7,9,39,68.0,1.1,2.9,1.6,63.4,77,67,1.9
393,ATA,24,A,1.79,30,2377,10,6,48,68.6,2.8,2.1,2.3,62.4,80,63,3.7
394,ATA,16,A,1.83,27,1454,19,1,95,68.4,3.3,1.5,1.2,41.6,76,45,1.2
395,MEI,23,B,1.9,31,1630,12,9,50,72.1,2.6,3.0,2.4,63.2,84,89,4.4
396,MEI,28,C,1.79,10,706,1,7,1,85.9,2.5,1.9,1.2,38.4,90,33,1.0
397,MEI,25,B,1.75,48,2253,9,16,37,89.1,2.4,2.6,1.1,52.3,67,61,3.6
398,GOL,23,A,1.64,32,2269,0,0,6,80.5,0.0,2.7,1.4,56.4,72,48,0.2
399,GOL,25,C,1.93,18,1376,0,0,1,73.5,0.0,1.9,0.9,46.3,69,17,0.2
400,MEI,27,A,1.83,15,905,1,4,4,78.7,0.9,1.8,1.5,44.4,71,23,0.2
401,ATA,28,A,1.81,29,2172,12,3,48,74.2,1.1,1.6,1.4,63.1,98,83,5.0
402,VOL,24,A,1.84,28,1918,4,3,11,78.6,0.5,3.2,2.5,45.0,87,59,2.4
403,GOL,16,A,1.97,28,2195,0,0,0,72.7,0.0,2.9,0.8,66.6,72,32,0.2
404,MEI,32,C,1.91,13,992,2,1,8,88.4,1.0,0.6,1.8,62.8,74,14,0.2
405,ZAG,24,C,1.86,41,2510,0,1,0,72.9,2.1,3.2,1.7,52.1,60,32,0.2
406,MEI,23,A,1.93,22,1960,5,16,28,74.8,1.0,2.5,3.4,62.6,77,100,11.3
407,MEI,26,A,1.7,18,1353,3,7,17,67.6,2.3,2.6,1.7,51.7,81,49,1.0
408,MEI,27,B,1.7,18,943,6,6,39,76.3,0.0,1.8,2.2,60.0,69,41,0.4
409,GOL,26,C,1.87,31,2173,0,0,2,74.0,1.4,2.0,1.1,50.8,78,27,0.2
410,VOL,25,C,1.84,23,1274,3,4,11,81.4,0.0,3.2,3.3,38.8,72,44,0.8
411,LAT,33,A,1.75,26,1247,0,6,5,89.0,2.1,3.9,0.0,50.7,77,45,2.7
412,ZAG,27,C,1.86,37,2367,1,1,0,81.3,0.0,3.2,2.8,46.5,77,28,0.8
413,ATA,19,B,1.79,30,2165,12,6,69,75.7,3.6,1.5,0.8,42.3,76,37,0.6
414,LAT,19,B,1.87,29,1427,3,4,16,81.9,1.2,2.3,2.7,61.9,80,37,0.5
415,ATA,17,A,1.78,28,1623,17,13,99,55.0,5.7,2.3,0.5,56.2,80,53,1.9
416,ZAG,27,B,1.82,24,1532,3,0,11,75.8,2.6,3.0,1.7,49.2,80,40,0.5
417,ZAG,27,A,1.86,33,2603,1,3,9,84.8,1.7,3.9,3.6,53.6,73,77,5.4
418,ATA,18,A,1.79,34,1535,17,5,125,69.7,2.8,0.3,1.8,47.9,96,88,4.3
419,ZAG,27,C,1.87,25,1410,0,1,0,84.8,0.6,2.2,1.9,48.0,72,42,0.2
420,LAT,23,A,1.79,41,3444,7,14,45,91.4,0.9,0.0,0.9,52.7,80,40,1.2
421,VOL,27,B,1.83,14,744,1,1,4,81.2,0.0,4.6,3.0,53.5,99,56,3.1
422,LAT,27,C,1.74,25,1153,2,3,6,69.6,1.2,2.1,2.4,57.1,98,21,0.4
423,ZAG,25,C,1.85,26,1565,3,1,8,80.1,0.3,3.6,3.2,52.4,76,40,0.9
424,ATA,28,A,1.87,35,1853,13,5,37,70.6,2.4,2.1,2.2,53.7,65,60,3.0
425,VOL,30,B,1.72,28,2146,2,6,10,69.4,0.6,4.4,4.0,49.6,81,37,1.6
426,LAT,23,A,1.81,28,2264,2,7,11,88.9,1.4,1.7,2.0,52.7,80,41,0.9
427,MEI,28,A,1.75,16,1386,2,5,2,79.9,1.6,2.0,1.4,44.5,76,38,0.2
428,VOL,26,A,1.76,29,1757,1,5,8,86.0,1.1,3.2,3.0,53.7,83,61,2.9
429,LAT,25,A,1.82,24,1768,2,7,12,87.5,1.9,2.1,1.9,59.7,78,78,4.3
430,GOL,19,B,1.87,31,1999,0,0,3,78.8,2.1,1.1,0.0,45.8,76,30,0.2
431,LAT,21,A,1.83,26,1691,1,6,6,79.8,0.2,2.2,2.1,42.7,92,51,1.2
432,GOL,23,B,1.88,22,1140,0,0,5,78.8,0.0,1.3,1.8,58.6,78,43,0.2
433,LAT,20,B,1.85,44,2310,5,12,21,81.5,2.1,1.1,1.1,55.3,94,46,1.3
434,MEI,20,A,1.75,26,1340,13,6,59,80.8,1.3,1.5,0.0,47.6,90,58,3.3
435,ZAG,16,B,1.87,35,2064,2,0,11,85.2,0.0,1.7,2.8,60.2,82,41,0.2
436,MEI,23,A,1.7,18,1444,5,5,27,80.3,3.4,2.0,1.1,52.3,73,51,3.5
437,MEI,21,A,1.79,10,451,4,2,26,86.3,2.9,3.1,1.1,44.0,80,33,0.6
438,GOL,23,A,1.82,27,2245,0,0,1,75.2,3.5,3.2,1.8,54.8,75,27,0.6
439,LAT,28,A,1.91,25,1414,3,8,15,84.8,3.0,3.5,1.7,63.2,90,100,9.5
440,VOL,21,C,1.78,41,3381,3,3,18,74.1,0.9,1.5,0.6,47.2,87,34,0.2
441,LAT,17,B,1.82,29,1385,3,4,13,76.6,0.0,2.7,2.5,61.2,75,34,0.4
442,MEI,20,C,1.83,28,2301,5,16,23,84.9,3.1,3.0,2.8,54.8,68,37,1.2
443,ZAG,27,B,1.83,17,867,2,1,5,94.4,0.0,2.3,3.2,41.8,85,52,0.8
444,GOL,23,A,1.92,37,2429,0,0,0,77.8,1.6,0.1,2.0,40.9,69,35,0.2
445,ZAG,24,B,1.95,25,2236,2,0,11,69.6,2.4,4.5,0.8,69.4,80,52,1.7
446,MEI,16,B,1.87,34,1828,9,15,28,70.2,2.6,1.7,0.1,57.5,66,36,0.6
447,MEI,23,A,1.75,8,608,4,6,23,79.2,0.6,0.3,1.9,51.3,83,38,0.6
448,ATA,31,B,1.98,20,1472,12,3,54,81.6,1.3,0.7,1.9,54.0,99,39,2.3
449,MEI,27,A,1.8,42,1941,7,19,24,68.3,0.4,2.0,1.6,58.3,63,75,5.0
450,ATA,27,B,1.75,29,1876,14,4,75,77.3,3.0,1.0,0.1,34.3,71,45,1.1
451,MEI,22,A,1.84,31,1805,10,9,41,77.9,1.3,1.9,0.2,55.9,80,63,3.7
452,ATA,30,A,1.81,41,2511,23,8,134,74.2,2.1,0.6,1.7,54.0,79,100,7.9
453,GOL,31,A,1.83,23,1498,0,0,1,78.0,1.5,3.9,0.5,68.5,51,36,0.2
454,ATA,17,A,1.8,29,2185,20,6,132,78.9,2.7,1.7,1.3,46.9,77,45,1.8
455,ZAG,24,B,1.79,37,3182,2,2,19,81.4,0.1,2.0,2.0,60.7,78,23,0.2
456,ZAG,31,B,1.92,39,2761,1,0,4,85.4,0.8,3.2,1.4,45.9,77,42,0.2
457,ATA,29,B,1.79,30,1826,15,5,106,76.0,2.9,1.6,3.6,51.3,78,63,5.0
458,ZAG,18,C,1.84,35,2656,0,1,1,79.4,0.0,5.4,2.9,53.0,67,40,0.9
459,LAT,20,B,1.82,23,1699,2,8,15,80.2,0.2,2.1,1.3,47.4,91,16,0.3
460,GOL,23,A,1.89,34,2253,0,0,7,68.9,0.4,0.0,1.5,57.3,81,23,0.2
461,VOL,27,A,1.72,28,2507,3,4,16,81.1,0.5,4.4,1.9,55.3,82,100,7.7
462,VOL,28,A,1.86,45,2445,5,6,21,88.3,0.6,2.3,2.2,42.6,78,54,1.6
463,LAT,16,A,1.75,29,2519,2,1,7,71.5,0.0,0.3,0.1,66.7,75,7,0.2
464,VOL,23,A,1.77,26,1224,3,6,13,69.7,2.1,4.2,3.0,51.1,82,100,8.2
465,LAT,27,B,1.76,29,2187,1,5,6,76.7,2.1,2.1,1.4,56.2,91,32,1.8
466,ATA,23,B,1.77,36,1879,20,6,106,72.0,2.9,0.6,1.5,56.2,85,77,4.7
467,ZAG,32,B,1.9,26,2122,2,1,17,82.8,0.2,4.3,2.4,31.6,67,37,0.2
468,ATA,22,A,1.66,31,2630,16,4,95,81.0,2.1,2.8,1.3,57.2,84,60,6.2
469,MEI,19,A,1.8,44,3945,12,16,61,79.3,1.5,1.6,2.1,60.1,91,65,3.2
470,MEI,24,B,1.89,40,3146,11,12,45,69.2,4.1,2.2,1.1,48.9,76,79,4.2
471,LAT,29,C,1.82,39,1974,1,9,6,83.5,2.3,2.8,1.4,47.2,74,25,0.8
472,ZAG,16,A,1.77,28,2137,0,3,0,87.0,2.2,3.4,1.1,35.5,83,42,0.7
473,ZAG,21,A,1.92,38,1806,2,1,9,79.4,1.7,1.7,0.3,54.5,70,26,0.2
474,LAT,20,C,1.7,30,1697,1,14,12,73.4,2.1,0.0,0.3,57.1,72,16,0.2
475,MEI,25,A,1.77,30,1945,13,14,59,80.2,3.1,1.0,1.7,54.6,73,100,9.0
476,GOL,30,A,1.8,43,2406,0,0,0,87.3,0.5,3.4,1.0,45.9,74,35,0.2
477,ZAG,23,A,1.69,28,1834,2,4,10,87.1,2.9,4.3,2.3,61.4,79,64,3.5
478,VOL,26,B,1.81,18,932,2,4,14,72.0,2.0,4.1,0.9,41.0,83,47,0.8
479,ATA,22,A,1.84,36,2444,23,5,140,64.2,2.5,3.2,0.0,47.2,84,100,7.6
480,ATA,29,A,1.83,27,1582,8,8,59,81.1,1.4,1.6,0.4,48.7,96,57,2.3
481,LAT,27,A,1.81,37,2983,4,9,18,85.0,0.6,1.3,2.8,49.7,76,78,2.6
482,LAT,27,C,1.77,32,2678,5,7,22,82.0,1.6,1.8,0.7,52.3,75,30,0.2
483,MEI,27,A,1.83,35,2583,7,8,41,83.6,1.0,0.9,1.9,40.1,65,47,1.3
484,ATA,21,B,1.8,31,1460,23,5,140,73.7,2.1,2.4,0.7,68.4,99,41,2.3
485,MEI,22,A,1.75,23,1871,2,9,17,85.9,1.4,2.5,0.5,50.4,95,40,1.2
486,GOL,23,A,1.85,39,1995,0,0,1,85.2,0.0,2.4,0.8,46.5,81,21,0.2
487,MEI,16,A,1.92,24,1593,5,6,33,74.9,0.3,2.1,2.5,58.2,84,46,0.4
488,MEI,24,A,1.84,21,1463,4,13,20,97.0,2.2,2.7,0.6,55.6,75,100,9.7
489,VOL,31,B,1.85,29,1617,5,2,27,78.3,0.0,3.9,1.9,58.5,82,49,0.9
490,MEI,23,B,1.83,10,513,4,2,22,77.1,1.4,3.1,0.8,47.2,90,28,0.2
491,LAT,24,A,1.81,18,1181,5,4,36,77.5,0.0,2.9,1.4,59.2,73,39,0.4
492,VOL,27,B,1.79,34,2987,3,5,20,78.8,1.6,3.6,0.8,55.6,71,39,1.8
493,ATA,29,B,1.88,24,1562,17,11,69,85.2,1.4,0.2,1.3,52.5,87,78,4.9
494,MEI,30,A,1.86,37,3326,6,13,22,84.9,2.0,3.2,2.4,46.2,69,66,3.1
495,MEI,29,A,1.68,46,3550,17,14,79,76.4,1.5,0.4,2.2,60.2,79,75,6.9
496,GOL,26,B,1.78,38,3158,0,0,0,82.3,3.5,0.3,0.9,51.7,67,39,0.3
497,ATA,32,C,1.87,25,1600,18,5,118,64.6,2.9,2.9,1.2,39.4,84,39,0.6
498,ATA,27,B,1.78,15,981,4,5,20,74.9,1.2,0.4,1.8,49.8,81,36,0.9
499,ATA,26,C,1.87,21,1825,14,5,57,65.1,1.9,2.1,1.7,39.8,71,39,0.5
500,LAT,21,B,1.7,40,3145,2,4,13,70.4,0.0,0.9,1.7,63.9,75,35,0.2
501,ATA,20,A,1.89,22,1046,14,10,69,76.0,1.5,0.2,1.9,54.0,87,91,5.2
502,MEI,25,A,1.88,12,802,5,1,23,73.3,1.2,1.9,1.2,52.9,81,32,0.2
503,ZAG,25,A,1.85,41,3213,2,5,13,77.4,1.9,4.3,3.3,55.4,85,80,5.8
504,VOL,25,A,1.74,30,1450,5,7,27,80.3,0.0,3.2,2.0,47.9,88,67,3.3
505,VOL,26,C,1.7,26,1218,0,5,0,87.7,1.4,1.5,2.6,63.4,69,30,0.7
506,VOL,28,B,1.8,21,1228,2,4,11,75.2,0.0,3.7,3.7,42.5,74,12,0.6
507,LAT,22,C,1.85,28,1712,2,6,10,83.4,0.3,3.2,2.7,49.8,85,53,0.8
508,LAT,26,B,1.83,17,1423,1,5,12,84.3,0.4,2.6,2.8,54.0,85,66,1.5
509,ZAG,22,A,1.74,22,1865,4,1,18,74.0,0.9,2.5,3.1,44.3,61,46,0.2
510,ZAG,22,B,1.83,27,2326,2,0,11,83.5,0.6,2.8,2.3,54.0,76,37,0.3
511,LAT,25,C,1.72,34,2348,1,3,5,75.2,0.3,1.5,2.0,50.0,86,22,0.2
512,LAT,25,A,1.81,25,1930,4,10,17,81.2,1.0,2.0,1.0,54.9,82,67,3.8
513,ZAG,31,A,1.86,21,1727,1,0,0,92.9,1.3,1.4,3.1,50.8,77,57,1.4
514,ATA,21,B,1.97,38,3323,21,8,74,87.2,2.2,1.4,0.1,65.8,86,79,4.4
515,ZAG,28,B,1.86,14,797,1,0,7,80.3,0.0,3.4,2.9,56.2,69,42,0.4
516,ZAG,28,A,1.9,29,2249,1,0,0,89.8,3.0,2.1,3.2,49.1,79,64,4.4
517,VOL,22,B,1.62,38,1830,2,6,8,86.7,0.5,2.7,2.2,58.9,84,57,4.0
518,VOL,18,A,1.71,35,2003,6,7,26,86.8,1.6,2.6,2.0,58.0,80,35,1.5
519,GOL,26,B,1.8,37,3174,0,0,1,84.7,0.0,2.4,3.1,51.2,67,39,0.2
520,VOL,31,B,1.81,33,2626,5,7,22,81.3,0.0,3.7,2.6,62.2,87,61,2.5
